
Andorra;12;4;11;21;12;6									
Brasil;14;5;10;34;14;9									
Mexico;10;7;21;11;10;16									
Colombia;14;14;9;13;22;10									
Chile;9;3;17;12;20;11								
España;11;10;8;16;10;10									
Francia;3;14;17;10;9;3									
Alemania;17;10;9;3;14;14									
Panamá;2;13;16;10;9;33									
Bolivia;15;10;9;7;12;13									
Filipinas;11;9;18;10;3;6									
Gambia;15;10;13;11;9;8									
Grecia;22;12;2;12;10;12									
Irlanda;11;5;17;18;10;7									
Italia;14;13;10;15;12;10									
Argentina;9;3;13;10;11;21									
Kenia;10;9;8;7;7;5									
Letonia;11;15;13;11;10;9									
Marruecos;6;8;19;10;11;6									
Noruega;12;11;10;8;9;10									
Polonia;3;5;17;2;1;11									
Perú;14;11;10;8;9;3									
Rumania;3;12;6;17;10;11									
Suiza;12;11;10;9;1;8									
Venezuela;7;5;6;1;12;4									
